,strategy_config,2017-2020,2017,2018,2019,2020,2017_Q1,2018_Q1,2019_Q1,2020_Q1,2017_Q2,2018_Q2,2019_Q2,2020_Q2,2017_Q3,2018_Q3,2019_Q3,2020_Q3,2017_Q4,2018_Q4,2019_Q4,2020_Q4,2017_M1,2018_M1,2019_M1,2020_M1,2017_M2,2018_M2,2019_M2,2020_M2,2017_M3,2018_M3,2019_M3,2020_M3,2017_M4,2018_M4,2019_M4,2020_M4,2017_M5,2018_M5,2019_M5,2020_M5,2017_M6,2018_M6,2019_M6,2020_M6,2017_M7,2018_M7,2019_M7,2020_M7,2017_M8,2018_M8,2019_M8,2020_M8,2017_M9,2018_M9,2019_M9,2020_M9,2017_M10,2018_M10,2019_M10,2020_M10,2017_M11,2018_M11,2019_M11,2020_M11,2017_M12,2018_M12,2019_M12,2020_M12
10,10,-976.3499999999999,499.58000000000004,209.24,561.0200000000001,-1639.0700000000006,-26.460000000000004,142.74000000000004,266.81,-1319.6999999999996,82.44000000000001,110.88,332.0599999999999,-126.19,127.48000000000002,-280.52,-76.21000000000006,77.20000000000005,298.5899999999999,218.67,112.02999999999996,-438.4100000000002,-73.26000000000002,25.43,67.8,-58.730000000000004,34.46000000000001,105.08999999999999,165.2800000000001,-320.26,-6.469999999999999,24.39,17.76,-993.1599999999999,-65.10000000000001,0.029999999999984817,62.85000000000001,-38.899999999999984,86.41,124.68000000000002,223.29000000000002,-20.85000000000001,63.639999999999986,-23.000000000000007,45.550000000000004,-104.86999999999996,-95.47,20.359999999999985,-295.51000000000005,-179.86999999999998,65.82000000000001,-81.38000000000002,171.72999999999996,50.76,164.85999999999999,-233.61,85.15999999999998,198.26999999999995,100.61,76.32999999999998,6.6599999999999975,-78.52999999999999,26.449999999999985,-39.92000000000001,2.240000000000003,-359.75000000000006,170.70999999999995,184.59000000000006,92.18,0.0
11,11,412.69,1017.65,737.66,1111.6100000000004,-1647.2400000000002,76.39000000000006,192.17999999999998,102.73,-1547.6599999999999,367.71,230.95999999999998,182.75999999999996,918.0500000000002,130.15000000000003,-323.22999999999996,779.4199999999997,133.89000000000001,453.9500000000001,618.98,152.09999999999997,-849.9499999999998,-96.58000000000001,-193.98999999999998,-82.67999999999998,-29.430000000000014,60.769999999999996,302.29999999999995,252.83000000000007,-184.8799999999999,130.48000000000005,112.45000000000003,-104.03999999999998,-1383.3899999999996,89.74,-88.55999999999997,104.30000000000005,477.0,177.31000000000003,176.34000000000003,60.07,100.64000000000003,92.14,126.28999999999998,14.190000000000001,267.51,-76.06999999999995,43.76,-117.53999999999998,235.24999999999994,159.63,-113.92999999999999,101.01999999999995,-169.0,41.94,-269.3499999999999,765.2099999999999,105.37999999999997,216.76999999999992,217.52,-51.06000000000003,-58.34,77.10999999999999,-64.89999999999999,109.19999999999999,-677.7400000000001,149.70000000000005,464.7300000000001,115.66,-103.18000000000004
12,12,-1517.67,404.09000000000003,442.9500000000001,727.0699999999998,-2185.330000000001,26.880000000000006,108.02999999999997,215.81999999999996,-1947.56,139.54000000000002,26.20000000000001,243.94000000000005,-36.54999999999997,74.74999999999997,-208.54,161.23,245.74000000000004,162.47000000000003,488.3899999999998,136.80000000000004,-567.89,-17.77,-52.82000000000003,155.31000000000003,-61.50999999999999,-31.87,136.66000000000003,112.08,-74.53999999999999,73.07,34.56,-55.45,-1852.5399999999995,-10.849999999999996,-64.96000000000001,57.39000000000003,-6.700000000000001,86.97000000000001,131.16,81.95000000000002,-43.41,59.17999999999999,-36.690000000000005,91.39999999999999,12.099999999999996,-136.1800000000001,103.63999999999999,-191.95999999999998,69.30999999999999,112.32999999999997,-39.999999999999986,142.07,-102.77000000000002,105.73999999999998,-268.5199999999999,224.28999999999996,284.83,99.80999999999999,214.81,5.369999999999993,8.740000000000009,26.989999999999995,26.12000000000001,75.09,-460.98999999999995,34.089999999999996,235.10999999999996,61.36999999999999,-108.95000000000002
13,13,-925.79,750.24,534.1199999999999,1189.95,-2198.8799999999997,105.47000000000006,192.90999999999997,347.24000000000007,-1882.8400000000001,381.5400000000001,75.32,293.3499999999999,631.83,-56.73000000000001,-193.65000000000003,520.74,-32.449999999999974,398.2800000000001,561.8800000000002,163.27999999999992,-898.14,-8.850000000000005,-128.78,102.84000000000002,25.499999999999996,52.98,194.67000000000002,292.39000000000004,-419.5999999999999,52.71,156.51999999999995,-100.71000000000001,-1545.6699999999996,82.75999999999999,-51.03000000000002,62.51000000000006,197.21999999999997,190.95000000000002,97.24000000000001,119.95,241.23000000000002,95.38000000000001,2.9599999999999884,85.08000000000004,87.40000000000003,-206.88000000000014,185.96999999999997,-253.92999999999992,195.34999999999997,73.23000000000005,-47.319999999999986,82.21,-177.07000000000002,109.3,-373.39999999999986,752.4600000000002,-13.72000000000001,145.37999999999997,201.77000000000004,-106.84,-44.690000000000005,159.16,-96.61999999999995,138.43,-684.49,98.14,454.62,150.15000000000003,-155.22
14,14,-1723.8000000000002,299.78,100.11999999999999,426.9,-2050.6800000000003,-82.29,187.94,58.659999999999975,-1551.4399999999996,15.539999999999996,28.520000000000007,287.33000000000004,-31.26999999999999,30.75,-290.44999999999993,1.1899999999999888,-67.63,279.22999999999996,135.26,157.75999999999993,-693.7999999999998,-65.29,-29.54000000000001,-32.32000000000002,-84.56,-15.369999999999997,225.57000000000002,166.43,-125.12999999999998,-13.62,4.82,-80.1,-1379.81,-77.93,-1.5200000000000102,24.000000000000014,-26.020000000000003,36.61,110.04999999999997,213.9500000000001,104.53999999999998,57.519999999999996,-78.47000000000001,46.75000000000002,-90.14999999999998,-128.63000000000002,101.40999999999998,-242.79,-80.48,37.65000000000001,-97.44999999999999,119.59999999999997,-129.18,138.72999999999993,-294.6800000000001,133.62000000000003,151.21,151.59000000000003,-74.20000000000002,23.319999999999993,-44.860000000000014,42.74999999999999,0.7300000000000058,46.81,-490.5899999999999,82.26000000000002,215.72,87.42000000000002,-162.01
15,15,277.98,1069.06,798.8299999999999,1272.0199999999993,-1604.6399999999999,73.34000000000003,273.35,156.43999999999994,-1388.1799999999998,385.84,233.64000000000001,426.91999999999996,667.8799999999999,140.52999999999997,-417.26,551.6600000000001,43.570000000000014,465.6700000000002,674.77,210.91,-801.8,-118.89999999999998,-125.33,-121.32000000000001,-33.13,89.10000000000001,266.7699999999999,338.59,-248.52,99.57000000000004,155.97,-77.89999999999998,-1182.2199999999996,51.52000000000001,-128.36,82.49000000000004,493.2799999999999,204.06999999999996,181.88000000000002,273.4,46.73000000000002,123.73000000000002,151.28,54.10000000000002,136.48000000000013,-78.63000000000002,54.840000000000025,-249.01999999999998,172.07999999999993,148.19999999999996,-187.93999999999997,124.56999999999996,-179.76999999999998,68.64999999999999,-313.48999999999995,692.4500000000004,83.42000000000002,245.02,250.65999999999997,-29.540000000000042,-57.10000000000001,68.14999999999999,-100.51,139.20000000000005,-743.6099999999999,138.1599999999999,512.5,115.96000000000002,0.0
16,16,-1372.5100000000007,273.56,501.6800000000001,659.9799999999994,-2049.6099999999997,33.88999999999999,200.63,203.74999999999994,-1815.889999999999,128.97000000000006,20.54999999999999,150.67000000000002,41.58,76.60000000000001,-241.31000000000012,238.54999999999998,36.29999999999999,45.04999999999996,451.65,93.81999999999996,-477.41999999999996,0.0,-76.12999999999998,103.91999999999999,-40.58999999999999,-0.6299999999999957,221.44,151.80999999999995,36.98999999999999,33.38999999999999,62.68000000000003,-57.65000000000001,-1795.0999999999997,-3.690000000000002,-88.17000000000002,-11.160000000000004,-47.21000000000001,82.49000000000002,97.13000000000001,121.69999999999997,-14.830000000000009,49.18000000000001,11.270000000000003,39.93999999999999,100.91000000000001,-110.15,73.9,-43.640000000000015,10.089999999999993,75.16999999999999,-30.659999999999997,91.96999999999998,-194.58999999999995,115.06000000000003,-287.84000000000003,181.17000000000002,217.40999999999997,-4.429999999999997,300.05,6.310000000000006,2.0799999999999983,-19.57,-13.839999999999998,46.54,-528.3299999999999,73.52999999999999,172.18,43.25,57.03999999999999
17,17,-1510.43,370.94999999999993,338.21000000000004,1092.8700000000001,-2375.7500000000005,23.459999999999987,262.64999999999986,126.46999999999997,-2108.2099999999996,343.73,156.58999999999997,488.52000000000004,770.4399999999998,-163.40999999999994,-411.9100000000001,429.07000000000005,-147.79999999999998,254.45000000000005,356.3900000000001,202.08999999999997,-907.6200000000002,0.0,-77.12,5.0499999999999865,-105.52999999999996,-11.379999999999995,240.85000000000002,255.63000000000002,-333.78,29.379999999999953,133.74000000000007,-122.25000000000003,-1757.7799999999997,-3.05000000000001,-41.06999999999997,29.15000000000002,388.3600000000001,259.47,152.89,336.70000000000005,294.4099999999998,75.35999999999999,22.68999999999999,123.17999999999998,-32.22000000000001,-223.54999999999998,129.68000000000004,-197.23000000000005,34.42,96.30999999999996,-139.26000000000002,-27.800000000000004,-241.18999999999994,-26.000000000000004,-423.7699999999999,718.8399999999999,68.66999999999999,65.64999999999999,209.70000000000005,-106.33,-97.05999999999999,83.37999999999998,-173.83999999999995,203.14000000000001,-754.6600000000001,119.72000000000001,313.33000000000004,110.02999999999997,-38.79999999999999
18,18,-2052.5099999999998,202.08999999999995,204.34999999999997,551.8800000000001,-2286.3000000000006,2.930000000000004,203.22999999999996,147.03,-1778.03,-16.139999999999997,87.92000000000002,311.9,78.07000000000004,122.00000000000001,-280.31,-60.43999999999998,-126.18,102.05999999999996,159.26000000000002,219.5699999999999,-748.7400000000001,0.0,-13.719999999999999,-18.97,-120.92999999999998,-2.8099999999999987,182.3599999999999,237.1,-115.72,4.369999999999996,42.540000000000006,-70.61000000000001,-1624.4499999999996,-94.33000000000001,-78.09999999999998,10.580000000000002,-72.48,48.55000000000004,167.75000000000003,221.89000000000001,113.02,38.3,-2.109999999999994,78.22,28.930000000000007,-62.16000000000002,131.58,-148.27,-52.180000000000014,44.64,-87.19999999999999,-33.300000000000004,-210.38,152.37999999999997,-325.08,131.29,139.46,40.919999999999995,93.76000000000002,68.73999999999998,-63.78999999999999,-12.319999999999983,-89.50000000000001,65.89999999999999,-612.6999999999999,72.53999999999996,160.72000000000003,82.41,-91.18
19,19,56.32000000000002,906.58,682.84,1063.7500000000002,-1445.34,6.630000000000008,268.41999999999996,50.18,-1230.5099999999998,269.95,275.85,541.3499999999999,875.8000000000002,161.35000000000002,-423.4999999999999,410.8599999999999,-5.829999999999998,485.33000000000004,544.9800000000001,200.34,-992.3899999999996,0.0,-53.919999999999995,-164.12,-151.15000000000003,-45.58,275.90000000000003,341.45000000000005,-180.17000000000002,47.75999999999999,78.99999999999999,-120.89999999999999,-944.5699999999999,-95.17999999999999,-93.98000000000003,68.89999999999995,567.5700000000002,224.88000000000005,254.32,314.95000000000005,277.13,146.35,110.72000000000001,147.24,-2.1099999999999817,-34.010000000000005,136.96999999999994,-268.4800000000001,-15.139999999999993,122.06000000000002,-201.09,53.130000000000024,-165.09999999999997,72.99,-375.04999999999995,672.2599999999998,212.96000000000004,194.80000000000004,268.6099999999999,-73.47999999999999,-72.70000000000002,100.03000000000009,-166.79999999999998,127.86,-798.3099999999996,167.38999999999996,418.87999999999994,145.67,-148.76000000000002
20,20,-793.2299999999999,409.94000000000017,572.32,659.4600000000002,-1577.8500000000004,-61.060000000000024,262.26,310.28000000000014,-1164.63,156.31999999999994,52.03999999999998,317.49,-71.88000000000002,185.73000000000002,-354.37999999999994,-93.78000000000004,34.72000000000002,119.62000000000005,551.03,210.64999999999992,-722.35,0.0,82.91999999999999,126.63999999999999,-140.82,-25.629999999999995,128.77999999999997,301.12,-243.64000000000004,-37.72999999999999,45.129999999999995,-101.30000000000001,-824.6900000000002,-22.8,-81.93,30.26000000000002,-23.86,113.05000000000004,104.80999999999999,213.79999999999998,43.94999999999996,67.45,14.930000000000007,63.21,-97.52000000000001,-75.61000000000004,129.62000000000003,-272.78999999999996,-167.61,88.98,-75.92,115.21999999999996,-60.03999999999999,188.0,-417.42,51.10999999999999,205.83,6.910000000000014,421.73999999999995,129.85999999999996,-48.91999999999999,-39.28999999999999,-80.69,4.149999999999988,-686.68,140.17999999999995,221.99,77.52999999999999,0.0
21,21,-35.55000000000002,45.30999999999999,432.26000000000005,378.0600000000001,-605.03,102.72999999999999,-19.689999999999984,103.27,-560.62,25.979999999999993,-19.80000000000002,-0.08000000000000362,84.13000000000001,-34.31,156.48000000000002,351.46,49.509999999999984,-58.49999999999999,279.39,-52.99999999999999,-119.25,55.64000000000001,-65.51999999999998,81.49999999999999,57.00000000000001,40.40999999999998,59.790000000000006,30.440000000000012,-38.56000000000001,8.219999999999999,-11.879999999999995,-9.539999999999994,-564.51,31.26000000000001,10.180000000000001,38.81,48.17999999999997,-24.32,9.990000000000007,-67.63999999999999,12.440000000000008,26.88,-44.65999999999999,22.950000000000003,14.570000000000006,-81.5,30.239999999999995,-13.459999999999994,113.03999999999999,61.59,37.95,58.95999999999999,-8.54000000000001,-7.2500000000000036,77.12,304.26,-47.480000000000004,-42.88,142.49999999999997,-6.719999999999988,-73.11,-40.89999999999999,-2.1099999999999985,-20.749999999999996,-104.60999999999997,23.5,139.57,-23.099999999999998,65.28
22,22,329.6199999999999,550.88,1372.4999999999993,584.22,-1462.2900000000002,113.89999999999998,332.70000000000005,-63.16,-1345.06,174.74,97.36000000000001,27.33000000000002,158.73,69.65,-42.84,648.6000000000003,-99.22,141.29999999999998,751.41,-17.71999999999999,-82.90000000000002,17.3,-130.67000000000002,-24.439999999999998,23.12999999999999,20.240000000000002,271.55000000000007,-12.280000000000031,-88.03999999999999,72.54,185.34,-15.360000000000005,-1315.5900000000001,11.159999999999995,-25.57,55.87000000000002,91.00999999999999,56.02,102.68999999999998,-57.56,-1.0658141036401503e-14,97.22,23.479999999999997,23.340000000000003,73.45999999999998,-56.08999999999999,-20.220000000000002,31.759999999999998,25.980000000000008,143.79,-21.059999999999995,178.19999999999996,-157.08,-11.210000000000004,5.0299999999999985,378.6500000000001,47.97000000000001,26.569999999999986,197.94000000000008,-129.03,101.49000000000001,39.30000000000001,58.68000000000001,59.5,-295.27,76.51000000000002,450.3100000000001,56.31,168.16
23,23,510.47999999999996,602.0799999999999,622.4799999999999,576.2400000000002,-1232.8,-14.600000000000007,226.92000000000002,115.76000000000002,-1232.86,301.02000000000015,81.50999999999999,19.100000000000065,630.34,112.25,-114.00000000000004,413.69,-53.65000000000002,203.42999999999998,460.6699999999999,51.62,-310.0299999999998,-57.77,-191.72000000000003,-23.75,85.3,-2.229999999999998,254.71000000000004,103.33000000000001,-171.57000000000002,40.89000000000001,163.91999999999993,9.690000000000003,-1136.2099999999998,55.450000000000024,-72.10000000000002,67.41,241.15999999999997,122.17000000000003,149.39,-14.57,144.25,107.05000000000001,3.8400000000000016,-41.230000000000004,132.1,-43.73999999999998,26.110000000000024,-57.96000000000001,66.40000000000002,134.08999999999995,-9.520000000000007,103.02999999999997,-142.97999999999996,12.079999999999998,-121.43000000000005,349.94,37.529999999999994,30.00999999999999,112.2,-94.43999999999998,139.21,100.66999999999999,68.94,72.09000000000002,-383.60999999999996,72.27000000000001,280.4,89.33,-4.739999999999989
24,24,-1873.3500000000004,757.57,1317.59,1550.78,-2649.3199999999993,76.18999999999998,349.71999999999997,184.2,-2400.4,308.14000000000016,161.84000000000003,756.0599999999998,248.87000000000003,66.67000000000003,-198.64999999999992,445.31,356.80999999999995,338.60999999999984,664.1999999999998,195.69000000000005,-818.3299999999999,-103.40999999999998,17.049999999999976,158.18999999999994,-64.92000000000002,152.1,338.28,204.67000000000004,-193.19000000000005,31.89,36.760000000000005,-175.84,-2232.2999999999997,34.0,-78.65000000000002,83.38,60.58999999999999,180.85000000000005,246.05000000000007,360.5600000000001,-92.26000000000002,70.55,-42.17999999999999,265.10999999999996,188.69000000000003,-139.51000000000008,200.92999999999998,-253.17000000000004,190.26,69.73,-95.83000000000001,168.54000000000002,-127.94999999999997,139.41000000000003,-312.94999999999993,597.7,321.44,231.67999999999995,368.00999999999993,-73.50000000000001,-115.00999999999999,101.55,-217.7300000000001,102.94,-731.4600000000002,42.88,543.4399999999998,156.60999999999996,36.920000000000016
25,25,-1522.6599999999999,156.36999999999998,190.81000000000003,495.61,-1794.8,-13.599999999999994,145.81,89.74,-1531.02,77.28,105.67000000000004,317.75999999999993,405.16000000000014,-69.61,-306.08,210.24999999999997,-7.149999999999967,201.87999999999997,127.88999999999997,48.39,-823.0899999999999,0.0,10.589999999999993,12.430000000000001,-95.69999999999999,-12.490000000000004,143.24999999999997,217.64999999999995,-190.75000000000006,-1.3499999999999979,7.300000000000005,-119.76,-1325.8,-44.33,-17.969999999999995,-22.08,187.55999999999997,122.52000000000002,136.82000000000002,229.00999999999993,193.04,8.769999999999992,-21.900000000000002,111.33,-58.859999999999985,-136.04000000000008,93.48,-197.11000000000004,10.54000000000002,12.759999999999991,-72.81,-22.82999999999999,-156.51,47.57,-342.99,474.05,131.71999999999997,69.46000000000001,123.84,-76.46,-160.59000000000003,44.81,-177.75,96.8,-600.7200000000001,90.11999999999998,190.39000000000001,12.160000000000005,-108.12000000000006
