ticker,strategy_type_id,backtest_id,2017-2020,2017,2018,2019,2020,2017_Q1,2018_Q1,2019_Q1,2020_Q1,2017_Q2,2018_Q2,2019_Q2,2020_Q2,2017_Q3,2018_Q3,2019_Q3,2020_Q3,2017_Q4,2018_Q4,2019_Q4,2020_Q4,2017_M1,2018_M1,2019_M1,2020_M1,2017_M2,2018_M2,2019_M2,2020_M2,2017_M3,2018_M3,2019_M3,2020_M3,2017_M4,2018_M4,2019_M4,2020_M4,2017_M5,2018_M5,2019_M5,2020_M5,2017_M6,2018_M6,2019_M6,2020_M6,2017_M7,2018_M7,2019_M7,2020_M7,2017_M8,2018_M8,2019_M8,2020_M8,2017_M9,2018_M9,2019_M9,2020_M9,2017_M10,2018_M10,2019_M10,2020_M10,2017_M11,2018_M11,2019_M11,2020_M11,2017_M12,2018_M12,2019_M12,2020_M12
BAJFINANCE.NS,1,161,-1.82,-10.78,-17.75,139.62,-44.16,-9.32,23.23,26.26,-68.07,16.04,-9.22,-0.25,133.15,-13.47,-51.23,66.77,11.43,-2.02,50.76,14.09,-32.69,-10.85,6.72,26.19,2.11,6.37,13.77,10.36,-4.76,-4.38,1.49,-9.34,-67.17,12.96,-5.68,6.66,60.69,4.09,-10.8,-0.62,38.97,-1.31,7.91,-5.89,4.41,-33.17,-26.13,4.96,17.81,14.39,-1.85,11.28,0.31,13.19,-32.74,42.78,-5.71,-12.33,51.19,15.7,-12.23,1.97,-8.84,-2.38,-39.22,9.6,9.38,1.02,26.18
BAJFINANCE.NS,1,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAJFINANCE.NS,1,163,-74.07,-33.88,-29.32,-8.02,-39.68,9.81,28.93,18.94,-62.34,4.13,-20.14,-9.55,194.31,-39.99,-44.96,-24.67,12.08,-3.65,24.71,13.49,-51.45,-15.09,14.8,9.41,0.9,16.14,11.49,12.96,-12.1,11.36,0.74,-3.76,-57.54,1.85,-3.89,0.29,84.51,3.72,-12.55,-6.28,87.69,-1.43,-4.97,-3.77,-15.02,-40.0,-18.12,0.16,29.07,-3.45,-0.92,6.81,2.35,3.61,-32.16,-29.59,-15.15,-12.23,14.81,21.38,-6.3,0.78,0.6,-3.37,-51.65,8.93,7.98,-3.24,7.16
BAJFINANCE.NS,1,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAJFINANCE.NS,1,165,-86.49,-19.49,-52.73,37.43,-74.16,-22.52,22.47,17.57,-69.95,16.34,-23.62,2.15,98.79,-20.72,-66.16,1.93,-10.11,12.65,49.32,12.27,-51.89,-17.22,7.71,26.19,6.78,4.52,12.04,7.68,-4.98,-10.45,1.49,-13.47,-70.38,7.02,-3.47,10.05,45.52,10.09,-16.96,-1.37,57.53,-1.25,-4.71,-5.89,-13.28,-36.32,-31.76,-6.11,10.75,6.44,-4.13,-5.17,-7.03,16.96,-48.27,14.47,-12.69,-8.36,40.09,10.2,-18.04,8.49,-10.91,-0.77,-41.3,13.32,19.63,2.68,0.0
BAJFINANCE.NS,1,166,-32.94,19.66,5.05,4.52,-48.96,-5.25,12.36,0.19,-42.95,20.44,4.33,1.82,1.31,-0.68,-30.49,-5.09,22.51,5.57,28.93,7.95,-27.92,-9.8,0.0,1.51,0.48,-0.44,9.96,0.0,0.0,5.5,2.19,-1.31,-43.23,3.36,0.05,1.44,0.0,14.45,-2.39,4.08,0.0,1.82,6.82,-3.56,1.31,-10.64,-17.63,-6.57,4.0,2.86,-3.65,4.37,2.14,8.06,-12.42,-2.67,15.34,7.09,17.72,2.54,1.09,1.53,3.91,-0.37,-28.71,-2.9,5.4,5.67,0.02
BAJFINANCE.NS,1,167,-84.44,-33.95,-41.89,9.02,-62.8,-9.59,25.22,21.71,-60.54,26.06,-27.76,-5.89,79.3,-48.97,-49.54,-6.01,17.12,13.57,27.3,1.26,-55.11,-23.86,22.19,17.27,2.8,5.75,7.82,18.28,-5.7,12.29,-4.94,-12.25,-59.3,6.35,-7.74,-3.04,54.58,11.73,-12.56,3.89,37.74,6.08,-10.45,-6.58,-15.79,-46.23,-25.61,-4.34,18.14,-12.04,6.63,10.79,9.68,7.89,-36.39,-11.32,-9.61,-4.57,3.57,7.98,1.3,5.39,6.87,-4.01,-57.22,12.92,15.01,-2.3,3.58
BAJFINANCE.NS,1,168,-40.87,27.06,-9.3,53.54,-66.58,-12.42,15.69,-5.06,-53.71,11.54,-2.14,24.68,-19.9,16.86,-35.3,20.75,4.17,11.3,23.83,7.43,-13.47,-13.47,7.97,10.32,-4.25,1.22,6.17,0.0,0.0,0.0,0.93,-13.94,-51.66,-11.33,-0.04,11.68,0.0,24.1,3.1,9.42,0.0,1.36,-5.04,2.02,-19.9,-8.96,-10.97,-5.26,-1.16,15.59,-9.07,23.39,8.4,11.05,-20.08,3.29,-2.77,1.94,11.54,-0.42,9.9,-0.66,11.35,-1.63,-21.27,9.91,-0.29,9.67,0.0
BAJFINANCE.NS,1,169,-92.78,-8.49,-60.25,32.37,-85.01,-25.08,31.89,33.04,-73.37,16.81,-25.35,20.82,45.41,-12.43,-72.42,-21.28,0.73,19.42,46.38,4.61,-61.58,-24.8,19.65,38.54,-1.38,3.88,13.51,15.35,-9.23,-4.09,-2.88,-16.75,-70.25,1.2,-9.06,9.12,22.33,20.0,-14.16,19.57,52.29,-3.82,-4.37,-7.41,-21.95,-35.72,-34.27,-12.69,11.7,1.4,-4.51,10.43,6.04,34.36,-56.06,-18.35,-14.96,1.8,29.7,6.29,-19.8,4.15,-5.75,-2.16,-52.1,12.64,19.75,0.59,0.0
BAJFINANCE.NS,1,170,-80.98,6.93,-25.06,10.37,-78.49,-19.46,17.1,-2.22,-62.76,15.79,-7.36,12.75,-34.83,-1.48,-40.71,-17.47,36.02,16.38,16.53,21.31,-34.85,-20.53,0.0,3.23,11.59,-6.27,14.59,0.0,0.0,8.13,2.19,-5.28,-66.63,-8.23,11.37,2.88,0.0,25.87,-14.65,10.77,0.0,0.24,-2.54,-1.07,-34.83,-10.64,-25.03,-4.51,-0.84,-0.14,-5.88,8.0,22.51,10.41,-15.98,-19.98,11.97,11.8,8.86,-0.59,1.09,-3.12,10.83,6.3,-35.56,7.46,-3.42,14.81,0.0
BAJFINANCE.NS,1,171,-88.06,-25.86,-62.35,10.9,-61.45,0.0,9.14,18.12,-59.31,18.9,-28.74,-2.37,87.05,-47.76,-51.84,-3.16,17.0,19.36,0.53,-0.69,-56.71,-14.89,7.4,16.83,2.58,11.47,9.39,10.87,-12.11,5.4,-7.1,-8.81,-54.87,5.97,-8.58,-4.97,34.0,12.63,-10.41,10.23,59.95,-0.38,-12.99,-6.8,-12.73,-38.47,-19.27,-1.74,16.12,-11.0,-4.42,8.61,9.57,-4.6,-37.59,-9.26,-8.04,0.35,-4.74,8.55,-1.59,4.28,-1.8,-5.15,-58.09,14.07,7.46,-3.54,4.96
BAJFINANCE.NS,1,172,-69.68,4.58,-12.17,100.01,-83.5,0.68,10.11,16.26,-69.82,13.13,-7.95,30.92,-7.72,-14.75,-15.26,24.57,7.37,7.71,2.26,5.49,-44.81,-4.32,7.97,22.27,-7.07,5.22,11.8,0.0,-15.46,0.0,-8.79,-4.92,-61.59,-2.22,-8.17,5.48,0.0,13.33,5.95,18.99,0.0,2.09,-5.4,4.31,-7.72,-17.73,-9.86,19.71,0.35,0.0,-0.33,3.57,6.8,3.62,-5.68,0.48,0.18,9.33,0.0,0.94,3.96,0.0,0.0,1.48,-48.79,-1.48,2.26,2.98,3.67
BAJFINANCE.NS,1,173,-95.7,1.98,-72.72,9.03,-85.82,-2.74,13.26,14.41,-72.73,27.87,-14.52,15.61,31.32,-32.98,-72.09,-19.46,-1.32,22.36,0.97,2.35,-59.87,-12.31,6.2,34.0,3.94,12.83,12.12,5.89,-11.31,-1.7,-4.88,-19.37,-70.42,0.64,-6.34,8.7,11.46,27.64,2.92,17.31,57.47,-0.45,-11.32,-9.33,-25.18,-35.72,-29.13,-16.89,0.87,-16.72,-9.13,17.3,5.4,25.19,-56.66,-17.39,-7.17,4.42,0.69,4.38,-19.72,0.76,-11.74,-4.1,-49.56,16.3,13.62,2.25,-0.89
BAJFINANCE.NS,1,174,-96.84,-33.2,-42.87,-5.02,-91.27,-19.16,11.53,-5.05,-75.67,-5.23,-18.78,13.18,-30.66,-12.74,-35.23,-22.79,7.4,-0.08,-2.63,14.47,-51.81,-15.05,9.99,0.0,-10.01,-1.74,7.85,0.25,-4.03,-3.15,-5.98,-5.28,-71.83,-5.2,-13.44,-0.34,0.0,0.0,7.48,13.47,23.69,-0.03,-12.71,0.08,-43.94,-24.24,-22.29,-2.84,0.0,0.0,-0.86,-0.33,0.49,15.19,-15.94,-20.27,6.88,-1.99,0.0,0.37,-12.18,-1.3,0.0,2.01,-45.12,3.3,-2.63,11.8,0.0
